paradigmID	lexemeID	lexeme	ipa	gloss	definition	major_senses
1	1	gotyagotya	gotʃagotʃa	jumbled up	appearance of things in disorder, mixed up, jumbled up, scattered everywhere	visual property
1	2	gosyagosya	goʃagoʃa	jumbled up	in disarray, messy	visual property
